,gene1,gene2,combined_score
311,ENSG00000272823,ENSG00000276642,1
312,ENSG00000276642,ENSG00000238078,1
313,ENSG00000238078,ENSG00000276642,1
314,ENSG00000276642,ENSG00000257551,1
315,ENSG00000257551,ENSG00000276642,1
316,ENSG00000272823,ENSG00000238078,1
317,ENSG00000238078,ENSG00000272823,1
318,ENSG00000272823,ENSG00000257551,1
319,ENSG00000257551,ENSG00000272823,1
320,ENSG00000238078,ENSG00000257551,1
321,ENSG00000257551,ENSG00000238078,1
322,ENSG00000235045,ENSG00000168765,1
323,ENSG00000168765,ENSG00000235045,1
324,ENSG00000254545,ENSG00000134668,1
325,ENSG00000134668,ENSG00000254545,1
326,ENSG00000261595,ENSG00000184599,1
327,ENSG00000184599,ENSG00000261595,1
328,ENSG00000261595,ENSG00000155367,1
329,ENSG00000155367,ENSG00000261595,1
330,ENSG00000184599,ENSG00000155367,1
331,ENSG00000155367,ENSG00000184599,1
332,ENSG00000271949,ENSG00000230735,1
333,ENSG00000230735,ENSG00000271949,1
334,ENSG00000271949,ENSG00000171488,1
335,ENSG00000171488,ENSG00000271949,1
336,ENSG00000271949,ENSG00000231999,1
337,ENSG00000231999,ENSG00000271949,1
338,ENSG00000230735,ENSG00000171488,1
339,ENSG00000171488,ENSG00000230735,1
340,ENSG00000230735,ENSG00000231999,1
341,ENSG00000231999,ENSG00000230735,1
342,ENSG00000171488,ENSG00000231999,1
343,ENSG00000231999,ENSG00000171488,1
344,ENSG00000273112,ENSG00000225217,1
345,ENSG00000225217,ENSG00000273112,1
346,ENSG00000273112,ENSG00000231586,1
347,ENSG00000231586,ENSG00000273112,1
348,ENSG00000273112,ENSG00000244682,1
349,ENSG00000244682,ENSG00000273112,1
350,ENSG00000273112,ENSG00000162747,1
351,ENSG00000162747,ENSG00000273112,1
352,ENSG00000225217,ENSG00000231586,1
353,ENSG00000231586,ENSG00000225217,1
354,ENSG00000225217,ENSG00000244682,1
355,ENSG00000244682,ENSG00000225217,1
356,ENSG00000225217,ENSG00000162747,1
357,ENSG00000162747,ENSG00000225217,1
358,ENSG00000231586,ENSG00000244682,1
359,ENSG00000244682,ENSG00000231586,1
360,ENSG00000231586,ENSG00000162747,1
361,ENSG00000162747,ENSG00000231586,1
362,ENSG00000244682,ENSG00000162747,1
363,ENSG00000162747,ENSG00000244682,1
364,ENSG00000173846,ENSG00000117425,1
365,ENSG00000117425,ENSG00000173846,1
366,ENSG00000173846,ENSG00000202444,1
367,ENSG00000202444,ENSG00000173846,1
368,ENSG00000173846,ENSG00000188396,1
369,ENSG00000188396,ENSG00000173846,1
370,ENSG00000173846,ENSG00000222009,1
371,ENSG00000222009,ENSG00000173846,1
372,ENSG00000173846,ENSG00000290041,1
373,ENSG00000290041,ENSG00000173846,1
374,ENSG00000117425,ENSG00000202444,1
375,ENSG00000202444,ENSG00000117425,1
376,ENSG00000117425,ENSG00000188396,1
377,ENSG00000188396,ENSG00000117425,1
378,ENSG00000117425,ENSG00000222009,1
379,ENSG00000222009,ENSG00000117425,1
380,ENSG00000117425,ENSG00000290041,1
381,ENSG00000290041,ENSG00000117425,1
382,ENSG00000202444,ENSG00000188396,1
383,ENSG00000188396,ENSG00000202444,1
384,ENSG00000202444,ENSG00000222009,1
385,ENSG00000222009,ENSG00000202444,1
386,ENSG00000202444,ENSG00000290041,1
387,ENSG00000290041,ENSG00000202444,1
388,ENSG00000188396,ENSG00000222009,1
389,ENSG00000222009,ENSG00000188396,1
390,ENSG00000188396,ENSG00000290041,1
391,ENSG00000290041,ENSG00000188396,1
392,ENSG00000222009,ENSG00000290041,1
393,ENSG00000290041,ENSG00000222009,1
394,ENSG00000117308,ENSG00000117305,1
395,ENSG00000117305,ENSG00000117308,1
396,ENSG00000118197,ENSG00000118193,1
397,ENSG00000118193,ENSG00000118197,1
398,ENSG00000229724,ENSG00000188340,1
399,ENSG00000188340,ENSG00000229724,1
400,ENSG00000116815,ENSG00000143061,1
401,ENSG00000143061,ENSG00000116815,1
402,ENSG00000116679,ENSG00000273004,1
403,ENSG00000273004,ENSG00000116679,1
404,ENSG00000116679,ENSG00000293113,1
405,ENSG00000293113,ENSG00000116679,1
406,ENSG00000273004,ENSG00000293113,1
407,ENSG00000293113,ENSG00000273004,1
408,ENSG00000232208,ENSG00000232663,1
409,ENSG00000232663,ENSG00000232208,1
410,ENSG00000287989,ENSG00000151418,1
411,ENSG00000151418,ENSG00000287989,1
412,ENSG00000224863,ENSG00000232022,1
413,ENSG00000232022,ENSG00000224863,1
414,ENSG00000265996,ENSG00000199135,1
415,ENSG00000199135,ENSG00000265996,1
416,ENSG00000265996,ENSG00000288804,1
417,ENSG00000288804,ENSG00000265996,1
418,ENSG00000265996,ENSG00000162434,1
419,ENSG00000162434,ENSG00000265996,1
420,ENSG00000199135,ENSG00000288804,1
421,ENSG00000288804,ENSG00000199135,1
422,ENSG00000199135,ENSG00000162434,1
423,ENSG00000162434,ENSG00000199135,1
424,ENSG00000288804,ENSG00000162434,1
425,ENSG00000162434,ENSG00000288804,1
426,ENSG00000116679,ENSG00000273004,1
427,ENSG00000273004,ENSG00000116679,1
428,ENSG00000116679,ENSG00000293113,1
429,ENSG00000293113,ENSG00000116679,1
430,ENSG00000273004,ENSG00000293113,1
431,ENSG00000293113,ENSG00000273004,1
432,ENSG00000177800,ENSG00000177788,1
433,ENSG00000177788,ENSG00000177800,1
434,ENSG00000228750,ENSG00000007923,1
435,ENSG00000007923,ENSG00000228750,1
436,ENSG00000224863,ENSG00000232022,1
437,ENSG00000232022,ENSG00000224863,1
438,ENSG00000225506,ENSG00000224805,1
439,ENSG00000224805,ENSG00000225506,1
440,ENSG00000225506,ENSG00000162366,1
441,ENSG00000162366,ENSG00000225506,1
442,ENSG00000225506,ENSG00000290081,1
443,ENSG00000290081,ENSG00000225506,1
444,ENSG00000224805,ENSG00000162366,1
445,ENSG00000162366,ENSG00000224805,1
446,ENSG00000224805,ENSG00000290081,1
447,ENSG00000290081,ENSG00000224805,1
448,ENSG00000162366,ENSG00000290081,1
449,ENSG00000290081,ENSG00000162366,1
450,ENSG00000174175,ENSG00000198734,1
451,ENSG00000198734,ENSG00000174175,1
452,ENSG00000143127,ENSG00000244619,1
453,ENSG00000244619,ENSG00000143127,1
454,ENSG00000198799,ENSG00000237278,1
455,ENSG00000237278,ENSG00000198799,1
456,ENSG00000117751,ENSG00000130775,1
457,ENSG00000130775,ENSG00000117751,1
458,ENSG00000224066,ENSG00000160051,1
459,ENSG00000160051,ENSG00000224066,1
460,ENSG00000224066,ENSG00000160050,1
461,ENSG00000160050,ENSG00000224066,1
462,ENSG00000224066,ENSG00000222046,1
463,ENSG00000222046,ENSG00000224066,1
464,ENSG00000160051,ENSG00000160050,1
465,ENSG00000160050,ENSG00000160051,1
466,ENSG00000160051,ENSG00000222046,1
467,ENSG00000222046,ENSG00000160051,1
468,ENSG00000160050,ENSG00000222046,1
469,ENSG00000222046,ENSG00000160050,1
470,ENSG00000162777,ENSG00000064886,1
471,ENSG00000064886,ENSG00000162777,1
472,ENSG00000130770,ENSG00000270605,1
473,ENSG00000270605,ENSG00000130770,1
474,ENSG00000130770,ENSG00000271398,1
475,ENSG00000271398,ENSG00000130770,1
476,ENSG00000270605,ENSG00000271398,1
477,ENSG00000271398,ENSG00000270605,1
478,ENSG00000243323,ENSG00000293457,1
479,ENSG00000293457,ENSG00000243323,1
480,ENSG00000235790,ENSG00000084636,1
481,ENSG00000084636,ENSG00000235790,1
482,ENSG00000126698,ENSG00000290123,1
483,ENSG00000290123,ENSG00000126698,1
484,ENSG00000126698,ENSG00000130770,1
485,ENSG00000130770,ENSG00000126698,1
486,ENSG00000126698,ENSG00000270605,1
487,ENSG00000270605,ENSG00000126698,1
488,ENSG00000126698,ENSG00000271398,1
489,ENSG00000271398,ENSG00000126698,1
490,ENSG00000290123,ENSG00000130770,1
491,ENSG00000130770,ENSG00000290123,1
492,ENSG00000290123,ENSG00000270605,1
493,ENSG00000270605,ENSG00000290123,1
494,ENSG00000290123,ENSG00000271398,1
495,ENSG00000271398,ENSG00000290123,1
496,ENSG00000130770,ENSG00000270605,1
497,ENSG00000270605,ENSG00000130770,1
498,ENSG00000130770,ENSG00000271398,1
499,ENSG00000271398,ENSG00000130770,1
500,ENSG00000270605,ENSG00000271398,1
501,ENSG00000271398,ENSG00000270605,1
502,ENSG00000173728,ENSG00000240963,1
503,ENSG00000240963,ENSG00000173728,1
504,ENSG00000173728,ENSG00000225401,1
505,ENSG00000225401,ENSG00000173728,1
506,ENSG00000240963,ENSG00000225401,1
507,ENSG00000225401,ENSG00000240963,1
508,ENSG00000133063,ENSG00000231507,1
509,ENSG00000231507,ENSG00000133063,1
510,ENSG00000238236,ENSG00000162885,1
511,ENSG00000162885,ENSG00000238236,1
512,ENSG00000158869,ENSG00000158874,1
513,ENSG00000158874,ENSG00000158869,1
514,ENSG00000158869,ENSG00000158882,1
515,ENSG00000158882,ENSG00000158869,1
516,ENSG00000158869,ENSG00000284035,1
517,ENSG00000284035,ENSG00000158869,1
518,ENSG00000158869,ENSG00000143257,1
519,ENSG00000143257,ENSG00000158869,1
520,ENSG00000158874,ENSG00000158882,1
521,ENSG00000158882,ENSG00000158874,1
522,ENSG00000158874,ENSG00000284035,1
523,ENSG00000284035,ENSG00000158874,1
524,ENSG00000158874,ENSG00000143257,1
525,ENSG00000143257,ENSG00000158874,1
526,ENSG00000158882,ENSG00000284035,1
527,ENSG00000284035,ENSG00000158882,1
528,ENSG00000158882,ENSG00000143257,1
529,ENSG00000143257,ENSG00000158882,1
530,ENSG00000284035,ENSG00000143257,1
531,ENSG00000143257,ENSG00000284035,1
532,ENSG00000158292,ENSG00000173673,1
533,ENSG00000173673,ENSG00000158292,1
534,ENSG00000251246,ENSG00000143590,1
535,ENSG00000143590,ENSG00000251246,1
536,ENSG00000198520,ENSG00000200169,1
537,ENSG00000200169,ENSG00000198520,1
538,ENSG00000198520,ENSG00000142945,1
539,ENSG00000142945,ENSG00000198520,1
540,ENSG00000200169,ENSG00000142945,1
541,ENSG00000142945,ENSG00000200169,1
542,ENSG00000225487,ENSG00000289408,1
543,ENSG00000289408,ENSG00000225487,1
544,ENSG00000158716,ENSG00000288775,1
545,ENSG00000288775,ENSG00000158716,1
546,ENSG00000204138,ENSG00000242125,1
547,ENSG00000242125,ENSG00000204138,1
548,ENSG00000204138,ENSG00000274266,1
549,ENSG00000274266,ENSG00000204138,1
550,ENSG00000204138,ENSG00000200087,1
551,ENSG00000200087,ENSG00000204138,1
552,ENSG00000204138,ENSG00000180198,1
553,ENSG00000180198,ENSG00000204138,1
554,ENSG00000242125,ENSG00000274266,1
555,ENSG00000274266,ENSG00000242125,1
556,ENSG00000242125,ENSG00000200087,1
557,ENSG00000200087,ENSG00000242125,1
558,ENSG00000242125,ENSG00000180198,1
559,ENSG00000180198,ENSG00000242125,1
560,ENSG00000274266,ENSG00000200087,1
561,ENSG00000200087,ENSG00000274266,1
562,ENSG00000274266,ENSG00000180198,1
563,ENSG00000180198,ENSG00000274266,1
564,ENSG00000200087,ENSG00000180198,1
565,ENSG00000180198,ENSG00000200087,1
566,ENSG00000198912,ENSG00000236423,1
567,ENSG00000236423,ENSG00000198912,1
568,ENSG00000226643,ENSG00000234419,1
569,ENSG00000234419,ENSG00000226643,1
570,ENSG00000277452,ENSG00000274963,1
571,ENSG00000274963,ENSG00000277452,1
572,ENSG00000290117,ENSG00000065135,1
573,ENSG00000065135,ENSG00000290117,1
574,ENSG00000290117,ENSG00000156097,1
575,ENSG00000156097,ENSG00000290117,1
576,ENSG00000065135,ENSG00000156097,1
577,ENSG00000156097,ENSG00000065135,1
578,ENSG00000171612,ENSG00000231181,1
579,ENSG00000231181,ENSG00000171612,1
580,ENSG00000171612,ENSG00000188807,1
581,ENSG00000188807,ENSG00000171612,1
582,ENSG00000231181,ENSG00000188807,1
583,ENSG00000188807,ENSG00000231181,1
584,ENSG00000123836,ENSG00000123843,1
585,ENSG00000123843,ENSG00000123836,1
586,ENSG00000188910,ENSG00000255811,1
587,ENSG00000255811,ENSG00000188910,1
588,ENSG00000237292,ENSG00000225359,1
589,ENSG00000225359,ENSG00000237292,1
590,ENSG00000158773,ENSG00000186517,1
591,ENSG00000186517,ENSG00000158773,1
592,ENSG00000158773,ENSG00000289121,1
593,ENSG00000289121,ENSG00000158773,1
594,ENSG00000186517,ENSG00000289121,1
595,ENSG00000289121,ENSG00000186517,1
596,ENSG00000228452,ENSG00000164008,1
597,ENSG00000164008,ENSG00000228452,1
598,ENSG00000260063,ENSG00000290006,1
599,ENSG00000290006,ENSG00000260063,1
600,ENSG00000260063,ENSG00000117713,1
601,ENSG00000117713,ENSG00000260063,1
602,ENSG00000290006,ENSG00000117713,1
603,ENSG00000117713,ENSG00000290006,1
604,ENSG00000227747,ENSG00000229989,1
605,ENSG00000229989,ENSG00000227747,1
606,ENSG00000228830,ENSG00000168264,1
607,ENSG00000168264,ENSG00000228830,1
608,ENSG00000228830,ENSG00000289057,1
609,ENSG00000289057,ENSG00000228830,1
610,ENSG00000168264,ENSG00000289057,1
611,ENSG00000289057,ENSG00000168264,1
612,ENSG00000254154,ENSG00000242193,1
613,ENSG00000242193,ENSG00000254154,1
614,ENSG00000254154,ENSG00000293477,1
615,ENSG00000293477,ENSG00000254154,1
616,ENSG00000242193,ENSG00000293477,1
617,ENSG00000293477,ENSG00000242193,1
618,ENSG00000286231,ENSG00000257551,1
619,ENSG00000257551,ENSG00000286231,1
620,ENSG00000286231,ENSG00000136630,1
621,ENSG00000136630,ENSG00000286231,1
622,ENSG00000286231,ENSG00000289142,1
623,ENSG00000289142,ENSG00000286231,1
624,ENSG00000257551,ENSG00000136630,1
625,ENSG00000136630,ENSG00000257551,1
626,ENSG00000257551,ENSG00000289142,1
627,ENSG00000289142,ENSG00000257551,1
628,ENSG00000136630,ENSG00000289142,1
629,ENSG00000289142,ENSG00000136630,1
630,ENSG00000134201,ENSG00000241720,1
631,ENSG00000241720,ENSG00000134201,1
632,ENSG00000272449,ENSG00000238164,1
